"name"
ARDRegression
DummyRegressor
"GaussianProcessRegressor"
"Lars"
"LinearSVR"
MLPRegressor
PoissonRegressor
RidgeCV
SGDRegressor
"LarsCV"
"PassiveAggressiveRegressor"
